ticker,date,open_price,close_price,high_price,low_price,volume_traded,market_cap
SCOM,2018-02-19,95.54,96.06,97.12,94.1,377257,36239272
SCOM,2018-02-20,94.74,94.25,96.17,92.46,881149,83045769
SCOM,2018-02-21,97.59,96.65,99.33,95.95,831106,80330499
SCOM,2018-02-22,95.57,95.1,96.32,95.06,257736,24511698
SCOM,2018-02-23,97.96,97.14,99.03,96.67,668956,64980230
SCOM,2018-02-26,96.97,97.33,98.91,95.97,36734,3575250
SCOM,2018-02-27,96.93,97.41,98.52,95.76,33275,3241183
SCOM,2018-02-28,95.11,94.67,95.83,93.38,962033,91078937
SCOM,2018-03-01,95.57,95.57,96.23,93.7,912580,87214757
SCOM,2018-03-02,95.0,94.31,95.49,93.99,197210,18598555
SCOM,2018-03-05,94.95,95.56,95.67,93.26,533138,50946032
SCOM,2018-03-06,96.69,96.51,98.66,96.29,656465,63358304
SCOM,2018-03-07,96.9,97.73,97.74,94.95,122221,11945185
SCOM,2018-03-08,95.28,95.62,97.48,94.17,351383,33597965
SCOM,2018-03-09,96.5,97.18,97.59,94.57,74323,7222647
SCOM,2018-03-12,96.3,96.31,96.8,96.07,114537,11031344
SCOM,2018-03-13,97.67,96.84,98.68,94.98,377436,36551365
SCOM,2018-03-14,96.73,95.83,97.4,95.56,622246,59629544
SCOM,2018-03-15,96.79,96.19,98.16,96.02,666702,64133184
SCOM,2018-03-16,97.32,97.84,99.03,96.38,954118,93352809
SCOM,2018-03-19,97.77,96.99,99.47,95.49,315073,30557696
SCOM,2018-03-20,95.09,95.55,97.43,94.73,396594,37896322
SCOM,2018-03-21,98.3,98.74,98.84,96.74,267802,26443979
SCOM,2018-03-22,97.78,97.18,98.1,96.85,532244,51723393
SCOM,2018-03-23,95.54,95.81,97.62,94.91,748345,71695801
SCOM,2018-03-26,96.17,96.8,97.68,95.41,153026,14812688
SCOM,2018-03-27,97.09,97.17,98.05,95.94,602016,58498796
SCOM,2018-03-28,98.19,97.96,99.28,96.15,931522,91253394
SCOM,2018-03-29,96.77,96.63,97.43,95.17,500025,48317407
SCOM,2018-03-30,95.15,95.74,96.98,94.09,412662,39508535
SCOM,2018-04-02,96.89,97.88,99.39,95.47,42154,4126181
SCOM,2018-04-03,97.57,96.64,98.71,95.11,253322,24480627
SCOM,2018-04-04,97.61,96.82,98.69,96.06,925308,89588230
SCOM,2018-04-05,95.11,94.9,96.7,94.6,24382,2313853
SCOM,2018-04-06,96.23,96.78,96.8,95.03,347827,33660997
SCOM,2018-04-09,96.77,96.27,97.46,95.91,24153,2325209
SCOM,2018-04-10,95.97,95.42,96.81,94.84,886906,84628861
SCOM,2018-04-11,95.21,95.38,96.39,93.99,198014,18886851
SCOM,2018-04-12,97.5,97.69,97.89,95.66,205716,20095539
SCOM,2018-04-13,98.29,98.7,99.01,97.13,119945,11838571
SCOM,2018-04-16,94.87,94.03,95.08,92.34,188954,17766561
SCOM,2018-04-17,96.4,95.63,98.37,93.95,658373,62957157
SCOM,2018-04-18,97.95,97.61,98.57,97.15,990878,96719388
SCOM,2018-04-19,96.19,95.3,96.86,93.7,894377,85235079
SCOM,2018-04-20,95.93,95.73,97.0,93.89,673937,64513201
SCOM,2018-04-23,96.46,96.42,98.3,95.25,576202,55557399
SCOM,2018-04-24,96.41,95.69,96.76,94.69,973269,93129192
SCOM,2018-04-25,94.73,94.35,96.29,93.8,553385,52214084
SCOM,2018-04-26,94.65,94.97,95.33,92.73,977344,92823228
SCOM,2018-04-27,96.82,97.55,98.62,96.46,161878,15790553
SCOM,2018-04-30,96.98,96.11,98.48,95.69,461282,44334376
SCOM,2018-05-01,95.99,95.93,97.24,95.17,607135,58242181
SCOM,2018-05-02,96.85,95.99,98.41,95.08,956369,91798332
SCOM,2018-05-03,96.73,96.7,97.73,95.16,861587,83311610
SCOM,2018-05-04,95.32,96.05,97.94,94.58,927458,89079385
SCOM,2018-05-07,97.17,96.99,97.22,96.68,662465,64251815
SCOM,2018-05-08,98.06,97.88,99.17,97.37,302822,29640057
SCOM,2018-05-09,97.28,96.32,97.49,94.72,344402,33173669
SCOM,2018-05-10,98.15,98.26,99.7,96.53,883559,86817459
SCOM,2018-05-11,97.48,98.2,99.86,96.69,509876,50067778
SCOM,2018-05-14,95.16,94.97,95.81,94.8,800857,76059504
SCOM,2018-05-15,94.94,94.35,94.99,93.99,154931,14618256
SCOM,2018-05-16,97.17,97.58,99.4,95.92,750874,73266623
SCOM,2018-05-17,95.63,95.39,96.81,94.86,548884,52359476
SCOM,2018-05-18,95.98,96.52,97.25,94.25,130674,12613172
SCOM,2018-05-21,98.39,98.92,99.2,96.65,553351,54735574
SCOM,2018-05-22,98.54,98.48,98.9,97.51,37856,3728025
SCOM,2018-05-23,95.67,95.75,97.02,95.15,851461,81530377
SCOM,2018-05-24,97.18,97.02,97.44,95.22,266609,25866179
SCOM,2018-05-25,95.68,94.72,97.51,94.49,441459,41815676
SCOM,2018-05-28,96.59,95.72,97.4,94.73,535910,51298507
SCOM,2018-05-29,95.02,94.3,95.55,93.77,39402,3715682
SCOM,2018-05-30,96.99,97.19,98.52,96.63,462268,44926077
SCOM,2018-05-31,97.95,97.76,99.49,96.91,489361,47838326
SCOM,2018-06-01,95.26,95.74,95.9,94.05,587564,56251456
SCOM,2018-06-04,96.15,95.73,96.86,94.29,21046,2014735
SCOM,2018-06-05,97.04,97.94,98.73,95.13,655188,64166335
SCOM,2018-06-06,96.53,96.07,97.61,95.75,959491,92178656
SCOM,2018-06-07,94.8,94.79,95.99,94.13,698281,66192824
SCOM,2018-06-08,96.49,96.18,97.2,95.36,403276,38787588
SCOM,2018-06-11,97.35,97.22,97.84,95.58,437236,42507556
SCOM,2018-06-12,94.6,95.54,95.55,94.4,626036,59811658
SCOM,2018-06-13,94.96,95.8,96.07,93.06,890438,85300830
SCOM,2018-06-14,96.68,95.85,98.6,94.34,153326,14696932
SCOM,2018-06-15,97.82,98.14,99.52,96.12,681256,66858014
SCOM,2018-06-18,98.21,98.5,99.89,98.11,526142,51826204
SCOM,2018-06-19,94.77,94.95,96.95,93.66,291685,27695116
SCOM,2018-06-20,98.26,97.33,99.65,96.73,352703,34326951
SCOM,2018-06-21,95.06,94.9,96.65,93.41,848003,80475639
SCOM,2018-06-22,97.97,97.61,99.63,97.54,347054,33876610
SCOM,2018-06-25,96.05,96.18,97.14,94.28,144055,13854586
SCOM,2018-06-26,96.36,96.17,97.5,94.56,316691,30455739
SCOM,2018-06-27,97.76,97.4,99.01,95.62,613561,59758342
SCOM,2018-06-28,98.1,97.94,99.03,95.96,825862,80882614
SCOM,2018-06-29,95.34,95.11,97.2,94.97,903741,85950603
SCOM,2018-07-02,96.0,96.53,97.34,95.04,285128,27524190
SCOM,2018-07-03,96.92,96.46,97.72,96.28,821006,79195825
SCOM,2018-07-04,96.28,96.76,97.23,96.06,568221,54978860
SCOM,2018-07-05,95.78,96.49,97.92,94.61,723135,69774706
SCOM,2018-07-06,94.67,95.64,96.5,93.9,885863,84726125
SCOM,2018-07-09,95.09,96.01,97.6,94.58,763019,73254486
SCOM,2018-07-10,96.27,97.02,98.91,95.33,568924,55199332
SCOM,2018-07-11,98.55,99.04,99.17,97.75,779884,77238911
SCOM,2018-07-12,97.19,97.41,98.43,96.73,71665,6980858
SCOM,2018-07-13,96.13,95.21,98.05,93.55,978452,93153870
SCOM,2018-07-16,97.11,96.55,98.15,95.35,564736,54523729
SCOM,2018-07-17,95.29,95.08,96.81,93.69,384999,36607088
SCOM,2018-07-18,98.19,98.11,99.43,96.62,856936,84075735
SCOM,2018-07-19,96.97,97.13,97.31,95.21,951378,92404930
SCOM,2018-07-20,95.69,95.64,95.78,93.94,104377,9982691
SCOM,2018-07-23,97.83,98.14,99.25,97.66,35559,3489905
SCOM,2018-07-24,95.61,94.62,97.0,94.52,576161,54514216
SCOM,2018-07-25,94.92,94.36,96.29,94.21,579936,54722807
SCOM,2018-07-26,94.84,95.61,96.64,93.03,138322,13224608
SCOM,2018-07-27,95.99,96.34,97.47,95.45,920597,88692891
SCOM,2018-07-30,96.68,97.42,97.91,96.37,486840,47426439
SCOM,2018-07-31,95.93,95.41,97.79,95.2,79274,7563448
SCOM,2018-08-01,97.61,96.92,99.37,95.18,845570,81955693
SCOM,2018-08-02,98.11,97.12,99.75,96.66,52534,5102212
SCOM,2018-08-03,95.24,95.87,97.54,94.22,174134,16695010
SCOM,2018-08-06,95.37,94.54,96.02,93.42,530551,50156305
SCOM,2018-08-07,95.63,95.9,96.98,94.08,212053,20336466
SCOM,2018-08-08,95.73,94.77,96.59,93.09,273579,25925920
SCOM,2018-08-09,97.13,97.99,98.2,95.25,618095,60567174
SCOM,2018-08-10,97.68,98.57,98.91,96.14,336032,33123864
SCOM,2018-08-13,96.92,96.62,98.17,96.52,864321,83507218
SCOM,2018-08-14,98.56,98.91,99.8,97.26,686787,67928884
SCOM,2018-08-15,97.63,96.68,97.67,96.03,515934,49879341
SCOM,2018-08-16,97.87,97.38,97.87,97.06,154097,15005301
SCOM,2018-08-17,98.58,98.44,99.49,98.11,576134,56712551
SCOM,2018-08-20,97.9,97.5,99.58,95.95,324451,31632662
SCOM,2018-08-21,97.21,96.76,99.12,96.46,894315,86534002
SCOM,2018-08-22,97.52,98.34,100.05,95.59,372130,36595137
SCOM,2018-08-23,95.69,96.66,97.48,93.9,947486,91584324
SCOM,2018-08-24,97.58,96.98,99.32,95.55,36385,3528602
SCOM,2018-08-27,98.05,98.0,99.99,97.63,933280,91460863
SCOM,2018-08-28,94.96,94.27,95.87,93.21,180182,16985307
SCOM,2018-08-29,97.1,96.36,97.17,94.52,848530,81766811
SCOM,2018-08-30,95.34,95.26,95.34,94.06,562829,53615968
SCOM,2018-08-31,97.34,97.2,97.74,96.22,664037,64543335
SCOM,2018-09-03,96.92,96.46,98.52,95.84,619996,59805683
SCOM,2018-09-04,95.19,95.12,96.55,94.33,398590,37915096
SCOM,2018-09-05,97.0,96.58,98.39,94.86,292725,28271069
SCOM,2018-09-06,98.23,98.68,100.17,97.93,49499,4884332
SCOM,2018-09-07,98.54,97.83,99.54,96.59,320931,31395771
SCOM,2018-09-10,95.98,96.53,98.41,95.83,278512,26885098
SCOM,2018-09-11,94.95,94.65,95.01,94.49,846501,80119837
SCOM,2018-09-12,95.88,96.84,97.24,94.5,661406,64049790
SCOM,2018-09-13,95.4,94.73,95.61,93.46,769746,72918881
SCOM,2018-09-14,98.18,98.37,99.6,96.95,43320,4261387
SCOM,2018-09-17,97.43,98.17,99.6,95.83,416845,40923220
SCOM,2018-09-18,97.04,97.01,98.37,95.91,283797,27532100
SCOM,2018-09-19,97.86,97.77,99.15,96.72,629369,61533002
SCOM,2018-09-20,96.35,96.8,97.99,95.05,142632,13806722
SCOM,2018-09-21,98.08,97.52,100.03,96.85,38380,3742859
SCOM,2018-09-24,97.75,98.07,99.07,96.64,901793,88440407
SCOM,2018-09-25,97.21,96.87,98.29,95.89,987819,95693198
SCOM,2018-09-26,95.39,95.75,95.9,95.33,501872,48056329
SCOM,2018-09-27,97.96,97.31,99.88,96.47,241447,23494175
SCOM,2018-09-28,96.3,95.99,97.04,94.01,311207,29872564
SCOM,2018-10-01,96.77,96.8,97.97,96.71,41585,4025291
SCOM,2018-10-02,96.54,97.29,99.09,95.7,939705,91423008
SCOM,2018-10-03,98.56,98.13,99.28,97.36,922935,90569246
SCOM,2018-10-04,97.94,97.41,99.49,96.6,219373,21369366
SCOM,2018-10-05,95.31,94.79,97.26,94.43,598612,56742041
SCOM,2018-10-08,94.87,94.75,95.07,93.94,632605,59937040
SCOM,2018-10-09,96.65,96.37,97.84,96.05,922250,88880244
SCOM,2018-10-10,95.84,95.64,97.56,95.62,154832,14808475
SCOM,2018-10-11,97.69,96.95,99.63,96.04,914586,88670182
SCOM,2018-10-12,98.13,98.01,98.79,97.12,873051,85571584
SCOM,2018-10-15,97.91,97.77,98.41,96.54,381000,37251451
SCOM,2018-10-16,95.26,94.6,95.34,93.13,999156,94519093
SCOM,2018-10-17,96.73,97.29,98.7,95.84,879742,85592877
SCOM,2018-10-18,98.07,97.48,98.29,96.94,877969,85584678
SCOM,2018-10-19,95.09,94.55,95.19,93.27,404274,38223975
SCOM,2018-10-22,96.4,97.27,97.9,95.39,306141,29778970
SCOM,2018-10-23,97.35,97.14,98.31,95.77,206733,20082688
SCOM,2018-10-24,98.4,98.68,100.42,97.49,934142,92182082
SCOM,2018-10-25,96.68,96.37,97.75,96.12,638349,61516261
SCOM,2018-10-26,95.83,96.24,96.64,94.48,806657,77629935
SCOM,2018-10-29,95.35,95.81,96.12,94.88,920830,88225260
SCOM,2018-10-30,95.3,95.69,97.37,93.41,622297,59547214
SCOM,2018-10-31,94.67,94.15,96.33,92.42,906880,85386277
SCOM,2018-11-01,94.72,95.58,96.96,93.36,435106,41586985
SCOM,2018-11-02,98.36,99.01,100.35,97.2,804557,79661367
SCOM,2018-11-05,97.23,98.23,98.32,95.27,738744,72563674
SCOM,2018-11-06,98.57,99.07,99.25,97.99,967386,95842541
SCOM,2018-11-07,98.11,97.92,98.76,96.58,992469,97180452
SCOM,2018-11-08,98.2,98.96,99.59,96.46,800144,79179701
SCOM,2018-11-09,95.08,95.17,95.18,94.43,37723,3589922
SCOM,2018-11-12,97.03,97.16,97.92,95.94,224432,21806202
SCOM,2018-11-13,95.55,95.29,96.0,95.15,770674,73439228
SCOM,2018-11-14,95.27,95.55,97.07,94.27,556900,53214278
SCOM,2018-11-15,98.05,98.09,99.05,98.0,797609,78235095
SCOM,2018-11-16,95.03,94.33,96.08,93.84,581107,54815350
SCOM,2018-11-19,97.03,97.56,99.18,95.59,875146,85376545
SCOM,2018-11-20,96.68,97.33,98.19,94.89,359307,34969644
SCOM,2018-11-21,98.41,98.72,99.48,98.02,780188,77022933
SCOM,2018-11-22,96.0,95.2,96.97,94.69,890179,84749368
SCOM,2018-11-23,97.28,98.14,99.2,96.11,124793,12246576
SCOM,2018-11-26,97.04,97.47,98.01,96.21,267368,26060135
SCOM,2018-11-27,96.69,95.93,98.4,94.33,73646,7065000
SCOM,2018-11-28,97.43,96.65,98.57,96.13,165683,16012511
SCOM,2018-11-29,96.29,95.47,97.93,94.72,576956,55080672
SCOM,2018-11-30,97.13,98.03,99.23,95.49,754149,73929936
SCOM,2018-12-03,96.97,97.56,98.85,96.62,769416,75062048
SCOM,2018-12-04,97.95,98.76,99.46,97.48,44084,4353516
SCOM,2018-12-05,95.8,96.27,97.97,94.46,885352,85230789
SCOM,2018-12-06,94.98,95.23,96.13,93.8,205246,19544630
SCOM,2018-12-07,95.54,96.27,97.22,94.47,969125,93302500
SCOM,2018-12-10,94.69,94.97,96.19,93.6,67993,6457568
SCOM,2018-12-11,95.62,95.89,96.0,95.34,552015,52931115
SCOM,2018-12-12,95.14,95.53,96.34,94.28,304054,29046758
SCOM,2018-12-13,97.49,96.53,98.18,94.89,834899,80588825
SCOM,2018-12-14,97.49,97.65,98.2,97.33,907767,88643137
SCOM,2018-12-17,97.18,97.37,98.17,96.44,244565,23812851
SCOM,2018-12-18,96.02,95.15,97.05,95.02,282900,26919169
SCOM,2018-12-19,94.88,95.16,95.7,93.69,870226,82806870
SCOM,2018-12-20,96.73,96.38,97.39,95.04,261051,25159058
SCOM,2018-12-21,97.24,97.36,98.82,96.31,369687,35992154
SCOM,2018-12-24,96.92,96.09,98.84,94.83,865342,83155008
SCOM,2018-12-25,95.4,95.47,95.66,94.5,266911,25482238
SCOM,2018-12-26,94.6,94.2,96.56,93.25,877869,82697175
SCOM,2018-12-27,95.53,95.33,95.84,93.35,203783,19427189
SCOM,2018-12-28,96.76,97.44,98.48,95.51,66273,6457602
SCOM,2018-12-31,97.75,98.48,99.69,96.73,544003,53571516
SCOM,2019-01-01,97.43,96.5,98.04,95.98,134481,12977796
SCOM,2019-01-02,96.12,95.81,96.6,94.79,399954,38320317
SCOM,2019-01-03,96.18,96.08,97.38,95.05,879794,84528725
SCOM,2019-01-04,97.74,97.89,99.02,96.96,767771,75156955
SCOM,2019-01-07,98.32,97.55,99.95,96.79,201703,19676257
SCOM,2019-01-08,96.73,97.17,97.45,96.3,574749,55847382
SCOM,2019-01-09,94.92,94.73,95.27,93.34,664801,62973385
SCOM,2019-01-10,98.42,98.57,100.44,97.27,466956,46028274
SCOM,2019-01-11,98.04,98.89,99.86,96.83,703045,69523488
SCOM,2019-01-14,97.91,97.55,99.82,95.9,212380,20717227
SCOM,2019-01-15,96.07,95.2,96.12,94.93,974163,92742277
SCOM,2019-01-16,94.92,95.47,95.71,93.73,739630,70611616
SCOM,2019-01-17,96.62,96.5,96.83,95.22,945772,91266165
SCOM,2019-01-18,94.67,94.87,95.6,93.89,577201,54759859
SCOM,2019-01-21,96.43,95.55,98.42,95.44,916295,87552957
SCOM,2019-01-22,95.78,95.65,96.13,95.5,977835,93525638
SCOM,2019-01-23,95.81,95.01,97.19,94.89,631827,60030339
SCOM,2019-01-24,97.13,96.59,97.59,96.14,734188,70912338
SCOM,2019-01-25,97.09,97.15,98.0,96.83,566659,55048199
SCOM,2019-01-28,96.21,96.52,97.23,95.16,824037,79538420
SCOM,2019-01-29,97.91,98.37,99.91,97.88,604305,59447241
SCOM,2019-01-30,95.13,94.97,96.71,93.8,296166,28126264
SCOM,2019-01-31,95.14,95.21,95.64,95.12,647420,61643828
SCOM,2019-02-01,98.5,99.1,101.02,97.52,512754,50814997
SCOM,2019-02-04,95.66,95.95,96.95,95.13,301444,28923887
SCOM,2019-02-05,96.55,95.85,97.2,94.37,817655,78371079
SCOM,2019-02-06,97.84,98.07,99.79,97.05,729401,71529756
SCOM,2019-02-07,98.16,99.07,100.65,97.53,638864,63295155
SCOM,2019-02-08,97.83,96.98,98.39,95.12,562959,54597957
SCOM,2019-02-11,98.2,98.13,99.48,96.81,431818,42372371
SCOM,2019-02-12,96.4,95.85,98.17,94.95,590780,56626237
SCOM,2019-02-13,95.2,95.67,96.7,93.84,735836,70398219
SCOM,2019-02-14,94.75,95.24,96.56,93.14,623858,59416255
SCOM,2019-02-15,94.64,95.56,97.03,93.94,649341,62049055
SCOM,2019-02-18,98.56,99.5,101.39,96.99,461122,45883198
SCOM,2019-02-19,95.29,94.49,96.61,92.96,670799,63382964
SCOM,2019-02-20,96.29,95.46,97.32,93.66,71063,6783528
SCOM,2019-02-21,97.67,97.92,98.69,97.26,218432,21389243
SCOM,2019-02-22,95.62,95.14,95.76,93.22,989062,94097983
SCOM,2019-02-25,94.76,95.7,97.3,94.18,813585,77860338
SCOM,2019-02-26,97.0,97.17,98.66,95.38,991883,96379189
SCOM,2019-02-27,95.22,94.31,95.44,93.11,186072,17548367
SCOM,2019-02-28,96.08,95.95,96.96,94.72,889381,85334640
SCOM,2019-03-01,95.69,96.55,97.9,94.7,94080,9083172
SCOM,2019-03-04,97.18,96.75,98.81,95.03,348416,33709452
SCOM,2019-03-05,95.63,95.72,96.99,95.19,550285,52671788
SCOM,2019-03-06,97.96,98.42,99.97,96.65,794586,78203555
SCOM,2019-03-07,95.88,96.38,96.92,94.8,714268,68842680
SCOM,2019-03-08,95.25,94.52,96.71,92.88,578926,54719070
SCOM,2019-03-11,96.55,95.85,97.23,95.02,561332,53803929
SCOM,2019-03-12,96.96,96.97,97.57,95.83,716972,69527385
SCOM,2019-03-13,94.97,95.12,96.88,94.1,884631,84150437
SCOM,2019-03-14,96.44,95.46,96.94,94.01,485584,46354053
SCOM,2019-03-15,95.71,95.1,97.47,93.78,602344,57279930
SCOM,2019-03-18,96.82,97.28,98.51,96.44,697016,67807118
SCOM,2019-03-19,96.1,96.17,97.22,94.4,526409,50626838
SCOM,2019-03-20,94.74,95.23,95.63,92.82,99464,9471781
SCOM,2019-03-21,97.31,97.82,99.51,96.37,426978,41767660
SCOM,2019-03-22,98.58,98.32,99.48,96.87,909607,89430273
SCOM,2019-03-25,95.46,94.74,96.79,94.74,653942,61954472
SCOM,2019-03-26,94.61,94.85,95.56,93.02,942883,89430171
SCOM,2019-03-27,96.2,96.95,97.97,94.76,583156,56538935
SCOM,2019-03-28,96.92,97.04,98.16,95.71,862129,83659647
SCOM,2019-03-29,96.99,97.2,97.24,96.35,78926,7671393
SCOM,2019-04-01,94.9,94.02,95.57,92.45,703221,66117446
SCOM,2019-04-02,95.43,96.09,97.13,94.69,277613,26674489
SCOM,2019-04-03,95.91,95.78,96.09,95.34,356874,34180085
SCOM,2019-04-04,97.8,98.33,99.8,97.2,612272,60207261
SCOM,2019-04-05,96.28,96.55,98.12,96.04,695614,67163532
SCOM,2019-04-08,97.95,97.72,99.1,96.55,654600,63969085
SCOM,2019-04-09,96.86,97.82,98.15,95.46,511597,50042895
SCOM,2019-04-10,97.92,97.47,98.96,96.87,33284,3244140
SCOM,2019-04-11,94.82,95.53,95.98,94.07,280143,26760808
SCOM,2019-04-12,95.34,95.95,96.86,94.37,779605,74799374
SCOM,2019-04-15,97.12,96.22,98.93,94.4,799271,76905772
SCOM,2019-04-16,97.51,98.04,98.36,96.29,440267,43165796
SCOM,2019-04-17,96.19,97.04,97.98,96.16,142503,13827938
SCOM,2019-04-18,94.82,94.39,95.35,93.89,29675,2800967
SCOM,2019-04-19,97.74,98.69,99.44,96.89,280040,27638185
SCOM,2019-04-22,97.7,96.83,98.68,96.77,668003,64684803
SCOM,2019-04-23,97.07,97.2,97.89,96.44,564970,54914130
SCOM,2019-04-24,95.98,96.78,96.83,94.66,76707,7424053
SCOM,2019-04-25,95.11,95.87,96.66,93.45,505479,48461158
SCOM,2019-04-26,95.64,96.1,98.06,95.12,533394,51257991
SCOM,2019-04-29,97.5,96.88,98.17,96.26,72292,7003542
SCOM,2019-04-30,97.03,96.73,97.26,96.43,951763,92062751
SCOM,2019-05-01,96.27,95.45,97.63,94.35,216487,20662638
SCOM,2019-05-02,95.05,95.77,97.22,94.92,316773,30338897
SCOM,2019-05-03,96.79,97.02,97.47,95.1,713305,69202486
SCOM,2019-05-06,95.26,96.15,97.85,93.92,599921,57682418
SCOM,2019-05-07,98.04,97.96,99.54,97.38,460542,45116445
SCOM,2019-05-08,96.65,97.26,98.18,96.54,634446,61705169
SCOM,2019-05-09,96.58,96.26,98.33,95.17,543571,52326377
SCOM,2019-05-10,97.62,97.66,98.07,95.87,814565,79551482
SCOM,2019-05-13,95.24,94.75,97.14,93.63,181033,17153418
SCOM,2019-05-14,96.83,96.93,97.12,96.14,887611,86038335
SCOM,2019-05-15,96.75,96.75,96.96,95.43,360808,34906716
SCOM,2019-05-16,96.19,95.37,97.07,94.98,868379,82818929
SCOM,2019-05-17,96.69,96.26,98.27,95.11,271716,26156230
SCOM,2019-05-20,95.84,96.13,96.52,94.05,744417,71561010
SCOM,2019-05-21,95.23,95.62,97.21,94.59,16530,1580584
SCOM,2019-05-22,96.05,96.84,97.18,95.03,921579,89247834
SCOM,2019-05-23,95.4,94.77,97.19,93.46,30074,2850174
SCOM,2019-05-24,95.85,96.45,98.38,94.13,922008,88923397
SCOM,2019-05-27,97.81,97.82,99.75,96.97,970374,94922331
SCOM,2019-05-28,95.09,95.54,96.18,93.09,208137,19884500
SCOM,2019-05-29,96.31,95.63,96.33,94.51,249968,23904428
SCOM,2019-05-30,94.71,95.36,95.78,93.95,305138,29097624
SCOM,2019-05-31,95.35,96.06,97.7,94.26,172002,16522775
SCOM,2019-06-03,97.63,98.61,100.41,96.33,422104,41623671
SCOM,2019-06-04,96.03,96.02,97.68,95.34,772841,74204442
SCOM,2019-06-05,95.57,94.8,95.75,93.36,855474,81097887
SCOM,2019-06-06,95.16,94.86,96.06,93.36,115400,10946763
SCOM,2019-06-07,96.34,96.49,97.97,94.73,443934,42836102
SCOM,2019-06-10,95.61,94.67,97.09,94.46,964850,91345880
SCOM,2019-06-11,97.34,96.48,97.69,94.77,563083,54326315
SCOM,2019-06-12,98.56,97.71,98.72,97.03,764105,74659050
SCOM,2019-06-13,96.65,96.26,97.07,96.19,453316,43634733
SCOM,2019-06-14,97.21,98.08,99.83,95.68,513650,50381252
SCOM,2019-06-17,94.83,95.63,96.93,93.08,819178,78337664
SCOM,2019-06-18,96.84,96.06,97.73,95.14,274803,26397375
SCOM,2019-06-19,96.12,95.38,96.95,93.77,294154,28056312
SCOM,2019-06-20,96.29,95.37,97.77,93.53,44518,4245671
SCOM,2019-06-21,95.11,95.52,97.47,93.45,424994,40595733
SCOM,2019-06-24,97.82,96.85,99.74,95.4,283146,27423021
SCOM,2019-06-25,97.11,97.17,98.44,96.21,789383,76707372
SCOM,2019-06-26,97.41,97.49,97.68,96.93,856143,83466811
SCOM,2019-06-27,96.86,96.43,98.51,96.28,152312,14687730
SCOM,2019-06-28,95.8,96.28,96.38,93.99,925207,89080403
SCOM,2019-07-01,98.1,97.77,98.79,95.79,867342,84796030
SCOM,2019-07-02,94.91,94.39,96.5,94.32,195378,18441812
SCOM,2019-07-03,95.67,96.24,97.39,94.35,482367,46425391
SCOM,2019-07-04,97.92,98.12,98.35,97.73,881868,86527989
SCOM,2019-07-05,94.73,95.46,95.59,92.81,492604,47025561
SCOM,2019-07-08,97.37,96.54,99.19,95.61,321822,31067970
SCOM,2019-07-09,97.0,97.79,98.68,95.79,886338,86673459
SCOM,2019-07-10,96.38,96.95,98.23,95.02,446571,43296897
